Date	Alpha	P0	h1	mv	T	gamma	offset
Apr22,2026+1-05-59PM	0.3529200227466529	1.3246535650955358	7.917998354160701e-05	-9.101892488410304e-05	2.6128900409344507	44.616479827190155	0.0007521500146119818	0.007566599388849007
Apr22,2026+1-15-05PM	0.35612255819884564	1.3243517597965533	-3.0543260330788457e-05	-8.526107203527436e-05	2.361079838825577	44.60898567589149	0.0007521500146119818	0.00761925268216848
Apr22,2026+1-26-36PM	0.3543188648500919	1.3240502764039188	0.00021316017732402013	-0.00013426334962180912	2.1040633860176117	44.63398211359248	0.0007521500146119818	0.00759829284193435
Apr22,2026+11-42-53AM	0.3555611984625784	1.3228405181939733	-9.02610713297006e-05	-8.688228714086722e-05	2.859116801831112	44.51820340501557	0.0007521500146119818	0.007643689418135873
Apr22,2026+12-02-05PM	0.35616406948590695	1.32298994393198	0.00015264107034862248	-0.00013025640102168974	2.613313057758101	44.571552788051484	0.0007521500146119818	0.0076455173530770295
Apr22,2026+12-09-36PM	0.3485166376844122	1.325157348507851	-0.00014902466716698392	-7.740636493726691e-05	2.600810459461081	40.58129001863427	0.0007521500146119818	0.006350135888491089
Apr22,2026+12-16-52PM	0.3587774881539685	1.3231049940759492	6.660845700384317e-05	-9.753428831787206e-05	2.6064494052098937	44.5607064220526	0.0007521500146119818	0.007636963711630703
Apr22,2026+12-27-44PM	0.3543276454783988	1.3265769939128524	-3.154876029630138e-05	-8.280297342521563e-05	2.6090336980346884	41.48034926565595	0.0007521500146119818	0.005152736903673649
Apr22,2026+12-37-14PM	0.35656310168157	1.3249709840569799	5.429852078200851e-05	-0.00010413015575887843	2.3638618219060104	44.59313057030918	0.0007521500146119818	0.006415825349995323
Apr22,2026+12-44-27PM	0.35134812406455684	1.3262547449057993	-0.0001985439812357016	-6.530322792541949e-05	2.367821403483186	40.603145527164486	0.0007521500146119818	0.006042128680480065
Apr22,2026+12-51-24PM	0.350702258434167	1.3271978582958006	2.1985323354255813e-05	-8.981117615866095e-05	2.614263635678743	40.605749735184894	0.0007521500146119818	0.0053269105898451005
Apr22,2026+12-58-39PM	0.35895535736294026	1.3258667352864442	3.684133972106137e-05	-8.482088947811343e-05	2.6162164987482424	44.59466957127413	0.0007521500146119818	0.006522710887827432
Apr22,2026+4-36-39PM	0.35567086920128554	1.3236120366540816	-0.00046479209095301325	-0.00015881079174067387	2.107543606867571	44.757313156649886	0.0007521500146119818	0.007162036344292397
Apr22,2026+4-44-37PM	0.3116980100470206	1.325695372917859	-8.823512559560232e-05	-0.0002003362469300984	2.387560798947599	40.7522758503505	0.0007521500146119818	0.005133783618353446
Apr22,2026+4-51-57PM	0.34689253683360133	1.326062836114828	-0.0005258782844815436	-0.00015381840912264403	2.1022171308264417	40.754031808700276	0.0007521500146119818	0.005263555273960915
Apr22,2026+5-01-02PM	0.34423947007816813	1.3252446630064487	-0.0003059768860444515	-0.0001534680439119702	2.364974719174427	40.733900497665054	0.0007521500146119818	0.005382100018800374
Apr22,2026+5-08-10PM	0.344409437617333	1.326391909375667	-0.0011154989544514705	1.706384344361707e-05	1.611190776776311	40.74514533805572	0.0007521500146119818	0.0051205137542153535
Apr22,2026+5-15-38PM	0.34703659603791426	1.3248566750147002	0.00016445303958483767	-0.00023375738540454911	2.3590466314134964	40.746132972623826	0.0007521500146119818	0.005783801227772281
