Date	Alpha	P0	h1	mv	T	gamma	offset
Apr22,2026+1-05-59PM	0.35292	1.324654	7.92E-05	-9.10E-05	2.61289	44.61648	0.000752	0.007567
Apr22,2026+1-15-05PM	0.356123	1.324352	-3.05E-05	-8.53E-05	2.36108	44.60899	0.000752	0.007619
Apr22,2026+1-26-36PM	0.354319	1.32405	0.000213	-0.00013	2.104063	44.63398	0.000752	0.007598
Apr22,2026+10-03-41PM	0.347075	1.32577	-0.00021	-0.00018	2.115168	40.57561	0.000752	0.005348
Apr22,2026+10-28-43PM	0.35517	1.321456	0.000377	-0.00023	2.366684	44.61633	0.000752	0.007621
Apr22,2026+10-39-57PM	0.358532	1.324547	-9.67E-05	-0.00019	2.364144	44.46667	0.000752	0.006465
Apr22,2026+11-00-27PM	0.358288	1.322891	9.93E-05	-0.00021	2.372871	44.61369	0.000752	0.007652
Apr22,2026+11-42-53AM	0.355561	1.322841	-9.03E-05	-8.69E-05	2.859117	44.5182	0.000752	0.007644
Apr22,2026+12-02-05PM	0.356164	1.32299	0.000153	-0.00013	2.613313	44.57155	0.000752	0.007646
Apr22,2026+12-09-36PM	0.348517	1.325157	-0.00015	-7.74E-05	2.60081	40.58129	0.000752	0.00635
Apr22,2026+12-16-52PM	0.358777	1.323105	6.66E-05	-9.75E-05	2.606449	44.56071	0.000752	0.007637
Apr22,2026+12-27-44PM	0.354328	1.326577	-3.15E-05	-8.28E-05	2.609034	41.48035	0.000752	0.005153
Apr22,2026+12-37-14PM	0.356563	1.324971	5.43E-05	-0.0001	2.363862	44.59313	0.000752	0.006416
Apr22,2026+12-44-27PM	0.351348	1.326255	-0.0002	-6.53E-05	2.367821	40.60315	0.000752	0.006042
Apr22,2026+12-51-24PM	0.350702	1.327198	2.20E-05	-8.98E-05	2.614264	40.60575	0.000752	0.005327
Apr22,2026+12-58-39PM	0.358955	1.325867	3.68E-05	-8.48E-05	2.616216	44.59467	0.000752	0.006523
Apr22,2026+4-36-39PM	0.355671	1.323612	-0.00046	-0.00016	2.107544	44.75731	0.000752	0.007162
Apr22,2026+4-44-37PM	0.312154350854271	1.3252784573686167	-0.4073369309676137	-0.0002731257070107056	2.137686234098329	42.26860566329846	0.000578576934316909	0.005622393964290647
Apr22,2026+4-51-57PM	0.3099014434022265	1.3263071196575957	-0.0015588606407513199	2.1370347185976897	40.75402933335046	0.0007521500146119818	0.005112369627895555
Apr22,2026+5-01-02PM	0.3086901792609351	1.324836725066429	-1.1438997203332069	-0.00019956173459186635	2.3997189442814566	40.81193197591373	0.0006164670358866334	0.006098735339843985
Apr22,2026+5-08-10PM	0.30590109176630986	1.3280286926570035	0.4843905742302358	-0.0003251864475318528	2.6091246514253705	40.74514581282987	0.0005785947996600328	0.0032031356353930144
Apr22,2026+5-15-38PM	0.3106378700936714	1.3273704704601377	0.24190325814967223	-0.00029531682826101425	2.393841939728074	42.25749455922009	0.0005807669229430781	0.0033272765773428893
Apr22,2026+5-23-35PM	0.350227	1.322741	0.000588	-0.00027	2.617052	40.73629	0.000752	0.006884
Apr22,2026+5-33-04PM	0.349065	1.324594	0.000313	-0.00022	2.62406	40.76314	0.000752	0.005173
Apr22,2026+5-42-27PM	0.343561	1.324348	0.000403	-0.00024	2.612097	40.69443	0.000752	0.005354
Apr22,2026+5-50-45PM	0.32010250784566563	1.322948393057929	-0.2286255250998096	-0.0002371421045652526	2.397934135031064	44.693756679698126	0.0007582037696827975	0.007826895474115352
Apr22,2026+5-58-49PM	0.349424	1.322785	0.000306	-0.00023	2.620196	40.67706	0.000752	0.00765
Apr22,2026+6-06-18PM	0.354874	1.324607	-0.00011	-0.0002	2.359289	44.62236	0.000752	0.006041
Apr22,2026+6-14-32PM	0.3186861806178929	1.3265675895238305	0.03262763622529504	-0.000246316328326717	2.39866561205981	44.69718683075667	0.0017089925728110168	0.0035370972494876214
Apr22,2026+6-22-00PM	0.309147	1.324561	0.000362	-0.00026	2.394524	40.67339	0.000752	0.005381
Apr22,2026+6-34-38PM	0.351847	1.321431	0.000698	-0.00029	2.582997	44.66106	0.000752	0.007592
Apr22,2026+6-44-17PM	0.351998	1.322907	-0.0004	-0.00018	1.618016	44.65686	0.000752	0.006763
Apr22,2026+6-55-11PM	0.317371	1.322694	0.000523	-0.00028	2.410546	44.62808	0.000752	0.007195
Apr22,2026+7-03-55PM	0.32311373085990347	1.3247456797657353	-1.867800678814517	-0.0001734724388436733	1.644511188293821	44.620652384448675	0.0017065681266903035	0.005269707876602239
