Date	Alpha	P0	h1	mv	T	gamma	offset
Jun12,2026+1-03-31PM	13.787126777190549	0.002165515813216314	-0.005264662023780947	0.0006263424075254222	2.0741068671354648	40.00028332000707	0.0022873004957041808	1.346971759954027
Jun12,2026+1-21-37PM	13.925023077283267	0.0021622249997047525	-0.006335967687189898	0.0008152820234969677	2.1252138919840795	40.00593302152343	0.0022873004957605246	1.3464829652489527
Jun12,2026+1-40-01PM	13.824520225566166	0.002164219383771107	-0.005216369836116239	0.0006342397315192242	2.1233172180211732	40.00255892875152	0.0022873004959013967	1.3459949879385877
Jun12,2026+10-14-10AM	13.873749761818278	0.0021787528884001347	-0.005696161678924915	0.0006289280786820808	2.0747830679245514	39.82354284023833	0.002287300495701454	1.3565116939735076
Jun12,2026+10-29-53AM	13.645970510981796	0.002178510481403762	-0.006293467840316048	0.0007584196540430007	2.0744067790292684	39.86787321010038	0.0022873004957062355	1.3569467615127286
Jun12,2026+10-38-10AM	13.889068652777102	0.0021799644915015412	-0.0020503513432921336	-0.00011164453488307695	2.1243036772904165	39.88177847245337	0.002287300495702614	1.3533741243711022
Jun12,2026+10-45-57AM	13.785150408388471	0.0021726127991298066	-0.00615692012838379	0.0007187195453123576	2.126109758196961	39.86670045000552	0.0022873004957018675	1.3533624902607233
Jun12,2026+10-55-47AM	13.831280875352052	0.002172834583100168	-0.0059732623486001375	0.000671955503963795	2.124630554288932	39.873547260011186	0.0022873004957015396	1.3533988774638952
Jun12,2026+11-04-33AM	13.658713644926957	0.0021690549317874477	-0.006122884618853586	0.0007224589874289784	2.1249090092761658	39.88618238004681	0.0022873004957015357	1.3510025023747838
Jun12,2026+11-12-26AM	13.753373325125814	0.0021691205233271204	-0.004364455997043775	0.0005892325438564936	2.1238051190338734	39.890593322442434	0.0022873004958527446	1.3466999208244455
Jun12,2026+11-20-14AM	13.817685151723825	0.00216552028379446	-0.006523088534509023	0.0007877618224841179	2.0741445883939367	40.387681606825666	0.002287300495701653	1.3493562084105424
Jun12,2026+11-28-18AM	13.83738045708061	0.002168174028439289	-0.005331136882375004	0.000587054782538809	2.125466231032058	39.93361360028848	0.0022873004957033676	1.3493172685071897
Jun12,2026+12-12-58PM	13.794848540008141	0.002168206491085947	-0.006697073084549434	0.0008440822002561389	2.1247598039569704	39.96466421000054	0.0022873004957020653	1.3510593294206783
Jun12,2026+12-25-27PM	13.813944842882465	0.0021688126600815194	-0.007756280946202565	0.0010611713833577245	2.1261541892760376	39.98686490000072	0.0022873004957015414	1.3525678951261846
Jun12,2026+12-35-37PM	13.656733761009912	0.002171725505633021	-0.0066487996152722545	0.0008682603655153052	2.0741082818913013	39.99525264007361	0.002287300495701967	1.3527585639399005
Jun12,2026+12-44-09PM	13.799241098611743	0.002175932483222656	-0.004666175410219773	0.0007238189247620074	2.1246798230859887	41.16630566624923	0.00228730052488366	1.3504426423042593
Jun12,2026+12-52-43PM	13.868019719528073	0.0021694824673102204	-0.004807820516147587	0.0005457385884071783	2.1247490937192106	40.001523960000064	0.002287300495701858	1.3488476015068167
Jun12,2026+2-44-29PM	13.733520840173927	0.0021649041071940297	-0.005742681270723677	0.0006768674144190194	2.0753055189907728	40.05098822000134	0.0022873004957019213	1.3476241505223572
Jun12,2026+3-03-50PM	13.823696639820849	0.0021661929734156254	-0.005192853911865441	0.0006002659547794173	2.0754304552087826	40.06343776001139	0.0022873004957017443	1.3474397946653958
Jun12,2026+3-12-40PM	13.914674829700777	0.0021657815453751048	-0.005899051626993821	0.000705593093175912	2.124602345482966	40.06405069000114	0.002287300495702311	1.348430848262534
Jun12,2026+3-22-14PM	13.78813203433981	0.0021654742884245604	-0.004894022578886131	0.0005538567204891727	2.1242410813481714	40.061059060143315	0.002287300495701411	1.3465748765090388
Jun12,2026+3-30-37PM	13.768357686320286	0.002165518921719384	-0.005703298041405747	0.0006712133433270707	2.0745180234416574	40.99106638166888	0.0022873007277741976	1.3479257475216475
Jun12,2026+3-51-16PM	13.83999380430411	0.0021750704097206067	-0.005821340360182702	0.0006626488880126769	2.0749093851526013	41.19236447454024	0.002287301086425769	1.3542904209573206
Jun12,2026+3-59-09PM	13.755488706885554	0.0021759564284169514	-0.005059241968914036	0.0005445992869744477	2.124237969634785	40.056316830009536	0.002287300495701458	1.3536806671377384
Jun12,2026+4-08-39PM	13.940590600877655	0.002176119947009269	-0.004627198888785168	0.00040614176934924176	2.125011626773692	40.068590640000096	0.0022873004957014087	1.353861129124059
Jun12,2026+4-24-22PM	13.832654371970623	0.0021693414844139156	-0.006971059811585559	0.0008722838929262239	2.1242783412801494	40.088924180550585	0.0022873004957014095	1.3523431661886096
Jun12,2026+4-32-39PM	13.8876351462769	0.0021701546803593796	-0.0050888012558022635	0.0005645621386312438	2.0752954025441563	41.050273451690096	0.002287300546018329	1.3499108503313582
Jun12,2026+4-40-25PM	13.841393277370358	0.002167107203143144	-0.003339659099067949	0.00038434926242181846	2.075418699748464	40.06840003005522	0.002287300495702304	1.3442589021472402
Jun12,2026+4-48-22PM	13.833296203852985	0.0021639028990181742	-0.00643804921165389	0.000996955101162317	2.0746359821016793	40.07296905002899	0.0022873004957015266	1.3458947418761524
Jun12,2026+4-56-14PM	13.636958756521926	0.0021686601831158074	-0.005625768920918948	0.0006232996503796769	2.074459932835859	40.12124544001941	0.00228730049570161	1.3501151147080825
Jun12,2026+5-04-02PM	13.944008455198485	0.0021705956732057524	-0.006495417946517249	0.0007839048114911048	2.125096334766344	40.115674139999996	0.0022873004957014997	1.3525086527926093
Jun12,2026+5-11-58PM	14.008584998261759	0.0021708334954054134	-0.006091988470816203	0.0007213160340832377	2.074614673256048	41.104223752115686	0.002287300502312273	1.3519369670751173
Jun12,2026+5-19-49PM	13.88815700936261	0.002169865674124563	-0.00532250601045532	0.0006196157265315264	2.0754133762586764	40.14591074003357	0.0022873004957014555	1.3499105871378152
Jun12,2026+9-50-49AM	13.930228333692341	0.0021695689619627913	-0.006186150341538255	0.0010540354271092376	2.074942200440602	41.020284564040935	0.0022873004957014087	1.3479729912045448
