Date	Alpha	P0	h1	mv	T	gamma	offset
May28,2026+1-37-31PM	18.152897701680725	0.002078241106441988	-0.0095890296916888	0.0008038899017318552	2.0449185937863863	62.48416660264466	0.0022873005008922256	1.3051465643975393
May28,2026+2-22-26PM	18.215902050333337	0.0020952811672115294	-0.009558697621643788	0.0009269784695838316	2.0449181335635154	63.06056769493069	0.0022873004957015596	1.314282497538691
May28,2026+2-31-05PM	18.11030379312665	0.0020740457159384444	-0.01250673178695464	0.001475848700662192	2.0438775406191065	61.4330294902098	0.0022873004957014954	1.304988946613437
May28,2026+2-39-02PM	18.185842292815558	0.0020937877779095147	-0.009106921749313681	0.0008941025007912792	2.0452837101533774	61.62587505282762	0.0022873004957015258	1.3122540898637696
May28,2026+2-47-24PM	18.123243630152878	0.002095982363053078	-0.009167307361064247	0.0009063003785913277	2.0443195337253486	63.38897564279599	0.00228730049570159	1.313682274583169
May28,2026+2-55-44PM	18.23232851080774	0.0020958119268772086	-0.008144796882427491	0.0006761055852072366	2.0449531777974572	62.272145620247926	0.0022873004957072577	1.3126604772489958
May28,2026+3-03-49PM	18.277304568059414	0.002083820948594984	-0.009864818662760302	0.0009758092002283568	2.044339699674966	61.423835546995555	0.002287300495716825	1.307691847117965
May28,2026+3-11-47PM	18.119359556250874	0.0020972534101249126	-0.006658495425742577	0.0005035482773945285	2.0445983423248566	61.4319340410885	0.002287300495727973	1.3105525161836955
May28,2026+3-19-54PM	18.016585738742883	0.0020936193030792996	-0.008150900477753697	0.0009666403661690705	2.044784444687196	61.3935418500167	0.0022873004957019386	1.3083330164836395
May28,2026+3-27-49PM	18.223878551212824	0.0020762779676825817	-0.016176795768157247	0.0017332523462059836	2.045093190793151	61.42901519004165	0.0022873004957015305	1.3154972178414455
May28,2026+3-37-09PM	18.22075633635913	0.0020850908472680595	-0.0058515856389464525	0.0002859534633227104	2.044956640302851	63.44050172926789	0.0022873004957092327	1.302691740610209
May28,2026+3-59-05PM	18.313065613958194	0.0020726588243523097	-0.010187229419980097	0.0008738897466724543	2.0451750981422534	61.43889932003304	0.002287300495701422	1.3028599588241014
May28,2026+4-16-31PM	18.305067523828903	0.00207181810217853	-0.009042774739735568	0.0006966192123470929	2.0448904071472365	62.1808844920382	0.002287300495707185	1.3004940705430894
May28,2026+4-36-20PM	18.341651851987585	0.0020850796026971033	-0.010166600182843348	0.0006196129051705378	2.0454234441840264	62.450483104332065	0.002287300495701696	1.3130963007818164
May28,2026+5-15-31PM	18.366943538339257	0.002094103557856106	-0.00990299388589303	0.0009795810128591556	2.044605614087086	61.905422611318876	0.0022873004957040008	1.3141144189192928
May28,2026+5-23-41PM	18.255745901311222	0.00208776266350877	-0.00920407165186268	0.0007958723827101552	2.045853899225893	62.14456792234057	0.0022873004957032535	1.3098396450202108
May28,2026+5-39-46PM	18.227937961896597	0.0021092539218415703	-0.008663844698903045	0.0008968454708983384	2.0447569265486534	63.43624624998597	0.0022873004957014087	1.3203307492758534
May28,2026+6-01-12PM	18.333449250335097	0.0020975034572701646	-0.01224885320219086	0.001430983622819071	2.0445877983919347	61.4916194402608	0.00228730049570237	1.3190721291124903
